current_salary,skills,recommended_role,success_score
594199,"Customer Service, Tableau, Python, SQL, AWS",Data Analyst,0.93
619795,"Node.js, JavaScript",Backend Developer,0.8
525638,"Figma, SQL, React, Marketing, Customer Service",Frontend Developer,0.77
376763,"JavaScript, CSS, Docker, Tableau",Frontend Developer,0.93
361075,"Figma, Docker, Project Management, Excel, Node.js",Data Analyst,0.71
200000,"CSS, Node.js, Marketing, Excel",Frontend Developer,0.79
495452,"Node.js, Python, CSS, Sales",Frontend Developer,0.87
438123,"Sales, Tableau",Data Analyst,0.89
823930,"Machine Learning, React, AWS, HTML, JavaScript",Frontend Developer,0.8
541461,"Agile, Python, Customer Service, JavaScript, Statistics",Product Manager,0.99
486753,"Agile, Marketing, Project Management, JavaScript",Product Manager,0.97
485531,"CSS, Project Management, Python, Machine Learning, Agile",Frontend Developer,0.93
612035,"HTML, Docker, JavaScript",Frontend Developer,0.81
300728,"Docker, AWS",DevOps Engineer,0.97
293578,"Machine Learning, Statistics, Figma",UX/UI Designer,0.87
501311,"Sales, Customer Service, Node.js",Backend Developer,0.85
590064,"React, HTML, Sales, Node.js",Frontend Developer,0.94
570731,"HTML, JavaScript",Frontend Developer,0.95
347979,"Customer Service, Figma, SQL, React, Statistics",Frontend Developer,0.73
316347,"Docker, JavaScript",DevOps Engineer,0.77
767993,"Marketing, HTML, Machine Learning",Frontend Developer,0.87
1018404,"AWS, Marketing, Agile",Product Manager,0.89
451908,"Machine Learning, Excel",Data Analyst,0.83
422400,"JavaScript, Customer Service",Product Manager,0.88
652756,"Machine Learning, Sales, Node.js, Python",Backend Developer,0.72
372112,"Sales, Agile, HTML, AWS, Node.js",Frontend Developer,0.91
200000,"Marketing, Statistics",Product Manager,0.97
321286,"SQL, Figma, CSS, Docker",Frontend Developer,0.92
380192,"HTML, Sales",Frontend Developer,0.82
293931,"Statistics, Marketing, Machine Learning",Frontend Developer,0.7
640078,"Statistics, AWS",DevOps Engineer,0.93
456690,"Customer Service, Marketing, Project Management, Statistics, Node.js",Product Manager,0.77
606039,"Figma, React, Docker, JavaScript, Python",Frontend Developer,0.77
634132,"React, Tableau, CSS",Frontend Developer,0.73
528215,"Tableau, Figma",Data Analyst,0.95
534980,"Tableau, Marketing, Node.js, React, Figma",Frontend Developer,0.97
586035,"Tableau, Excel",Data Analyst,0.91
372936,"AWS, CSS",Frontend Developer,0.72
602240,"Python, Sales, Figma",UX/UI Designer,0.82
381920,"Statistics, Python, Node.js",Backend Developer,0.71
369627,"React, Node.js, Python, HTML",Frontend Developer,0.76
538259,"CSS, Node.js, Python",Frontend Developer,0.94
647000,"Figma, Statistics",UX/UI Designer,0.81
200000,"Sales, Marketing, Node.js, Docker, Python",DevOps Engineer,1.0
556969,"Agile, HTML",Frontend Developer,0.74
444368,"Project Management, Docker, JavaScript, Sales, Figma",Product Manager,0.74
877396,"Agile, AWS, Project Management, React, Sales",Frontend Developer,0.87
411807,"Node.js, Excel",Data Analyst,0.84
865375,"Figma, Sales, Marketing, Customer Service",UX/UI Designer,0.88
555974,"Customer Service, Agile, Python, Marketing, Node.js",Product Manager,0.8
508801,"Python, Machine Learning",Data Analyst,0.95
200000,"Marketing, Docker, JavaScript, HTML, Figma",Frontend Developer,0.73
200000,"HTML, Python, Customer Service, JavaScript",Frontend Developer,0.83
596279,"CSS, Tableau, SQL, JavaScript",Frontend Developer,0.74
559538,"JavaScript, Machine Learning",Backend Developer,0.93
482625,"AWS, Docker, Excel, HTML",Frontend Developer,1.0
286344,"JavaScript, Tableau, Statistics, Sales",Data Analyst,0.91
443071,"Statistics, SQL, Python, JavaScript",Data Scientist,0.98
869079,"Tableau, Customer Service, Machine Learning, AWS",Data Analyst,0.75
493629,"CSS, Figma, Machine Learning, Agile",Frontend Developer,0.76
423225,"JavaScript, Machine Learning, Agile, HTML",Frontend Developer,0.79
653520,"SQL, Customer Service, Tableau, AWS",Data Analyst,0.87
536029,"Figma, Python, Agile, Node.js, CSS",Frontend Developer,0.99
334061,"Figma, JavaScript",UX/UI Designer,0.88
549149,"Excel, JavaScript",Data Analyst,0.79
399926,"Excel, JavaScript, Docker",Data Analyst,0.73
279463,"Machine Learning, Node.js, Agile",Product Manager,0.83
215829,"Sales, Customer Service, Node.js, Docker, SQL",Data Analyst,0.85
438271,"SQL, Customer Service, CSS",Frontend Developer,0.72
794338,"SQL, Excel",Data Analyst,0.78
293543,"Agile, Sales, Machine Learning, Marketing, Statistics",Product Manager,0.91
553132,"Docker, React",Frontend Developer,0.82
693895,"SQL, Project Management, Figma",Data Analyst,0.71
576728,"Statistics, AWS, Docker, Customer Service, JavaScript",DevOps Engineer,0.95
541181,"Docker, Excel",Data Analyst,0.83
287762,"React, SQL, JavaScript, Customer Service",Frontend Developer,0.95
333621,"CSS, Machine Learning",Frontend Developer,0.74
483669,"Excel, Figma",Data Analyst,0.93
603168,"Tableau, SQL, Node.js",Data Analyst,0.7
352748,"Tableau, Customer Service, Node.js, Figma",Data Analyst,0.73
671317,"JavaScript, CSS, Statistics, Docker, Agile",Frontend Developer,0.88
594435,"CSS, JavaScript, AWS, Docker",Frontend Developer,0.9
736887,"React, Node.js, Machine Learning, Figma, HTML",Frontend Developer,0.87
499807,"CSS, Sales",Frontend Developer,0.82
592924,"Docker, Sales, Excel",Data Analyst,1.0
586268,"Sales, AWS, Excel, Python",Data Analyst,0.84
774117,"Figma, Customer Service",UX/UI Designer,0.79
465375,"AWS, Docker",DevOps Engineer,0.77
494841,"Project Management, CSS, Statistics, SQL",Frontend Developer,0.78
449661,"Sales, Statistics, HTML, Node.js, Customer Service",Frontend Developer,0.74
230946,"Figma, Customer Service, Agile",Product Manager,0.93
666854,"HTML, Machine Learning, Customer Service",Frontend Developer,0.83
311777,"Marketing, JavaScript, Statistics, Customer Service",Data Scientist,0.94
277337,"Tableau, Node.js",Data Analyst,0.96
638906,"JavaScript, SQL, Marketing",Data Analyst,0.79
533454,"Marketing, Python, Node.js",Backend Developer,0.87
495095,"Sales, Marketing, Figma, Node.js, Machine Learning",UX/UI Designer,0.83
769531,"Project Management, AWS, Python, JavaScript, Agile",Product Manager,0.94
641091,"React, CSS, JavaScript, Sales, Python",Frontend Developer,0.77
583991,"Python, Excel, HTML",Frontend Developer,0.89
517258,"SQL, JavaScript, Figma",Data Analyst,0.72
771067,"Agile, Python, Customer Service, React, SQL",Frontend Developer,0.83
739734,"Node.js, Excel",Data Analyst,0.73
899161,"React, AWS, Excel, Sales",Frontend Developer,0.88
931619,"Statistics, Sales, Node.js",Backend Developer,0.95
368074,"Node.js, JavaScript, Docker, Excel, CSS",Frontend Developer,0.74
654767,"Tableau, Python, Machine Learning, Marketing, Customer Service",Data Analyst,0.7
850109,"Statistics, AWS, Node.js, Docker, Tableau",Data Analyst,0.97
526128,"HTML, Marketing, Agile",Frontend Developer,0.73
861420,"Machine Learning, Docker, Excel, CSS, React",Frontend Developer,0.96
671781,"Figma, Excel",Data Analyst,0.85
558198,"CSS, Python, Machine Learning",Frontend Developer,0.81
200000,"Excel, JavaScript",Data Analyst,0.8
424256,"HTML, JavaScript, Marketing, Statistics",Frontend Developer,0.83
671473,"Agile, Node.js",Product Manager,0.88
311291,"CSS, Excel",Frontend Developer,0.73
320788,"Python, Node.js, CSS, Agile, Tableau",Frontend Developer,0.75
566160,"Figma, Project Management, React",Frontend Developer,0.84
497826,"Marketing, Tableau, React, Statistics",Frontend Developer,0.72
246269,"JavaScript, Agile, Figma",Product Manager,0.82
627985,"Machine Learning, Project Management",Product Manager,0.88
291753,"Node.js, SQL, AWS, JavaScript",Data Analyst,0.75
470233,"Agile, CSS, Marketing",Frontend Developer,0.72
602715,"Sales, AWS",DevOps Engineer,0.78
318444,"Node.js, JavaScript",Backend Developer,0.8
561244,"Machine Learning, CSS, Excel",Frontend Developer,0.78
622998,"Tableau, SQL, Figma, React",Frontend Developer,0.96
340916,"Customer Service, Machine Learning, Python",Product Manager,0.93
767735,"SQL, JavaScript, Figma, Agile, HTML",Frontend Developer,0.88
303981,"Agile, Statistics",Product Manager,0.96
589656,"Excel, Statistics",Data Analyst,0.82
413286,"HTML, Machine Learning, Tableau, Marketing, SQL",Frontend Developer,0.81
476367,"Customer Service, Node.js",Backend Developer,0.97
776670,"Docker, Customer Service, Marketing, HTML",Frontend Developer,0.96
200000,"Agile, Tableau, Statistics",Data Analyst,0.72
540112,"Marketing, SQL, Tableau, Statistics, Node.js",Data Analyst,0.97
320001,"Marketing, Sales, Docker, SQL, AWS",Data Analyst,0.8
751480,"Figma, Marketing, Node.js",UX/UI Designer,0.98
538787,"Docker, Excel",Data Analyst,0.74
200000,"Statistics, Node.js",Backend Developer,0.82
874734,"Marketing, Figma, HTML",Frontend Developer,0.85
200000,"Project Management, SQL, JavaScript",Data Analyst,0.92
932946,"SQL, Machine Learning, CSS, Tableau, Sales",Frontend Developer,0.71
986337,"Figma, Statistics, Customer Service",UX/UI Designer,0.89
586613,"Customer Service, JavaScript",Backend Developer,0.87
374689,"Docker, Sales, JavaScript, React",Frontend Developer,0.77
522837,"React, Agile, Sales, Marketing, AWS",Frontend Developer,0.78
639667,"Tableau, Customer Service, Statistics, Agile",Data Analyst,0.81
634091,"Marketing, Project Management, Customer Service",Product Manager,0.71
240629,"HTML, JavaScript, Node.js",Frontend Developer,0.74
773283,"Customer Service, Docker, Python, Excel, Machine Learning",Data Analyst,0.97
238511,"Machine Learning, AWS, Tableau, Excel",Data Analyst,0.87
425698,"CSS, JavaScript, Tableau, Sales",Frontend Developer,0.77
596519,"Excel, Node.js, SQL, Sales, Statistics",Data Analyst,0.97
710385,"Machine Learning, Excel, React, AWS, Project Management",Frontend Developer,0.82
404183,"Node.js, Docker, JavaScript, HTML",Frontend Developer,0.77
327841,"HTML, React",Frontend Developer,0.9
705191,"Figma, HTML, Machine Learning, Node.js, Excel",Frontend Developer,0.72
488137,"Docker, SQL, Marketing, AWS",Data Analyst,0.74
745273,"Node.js, Agile, Project Management, Sales, Machine Learning",Product Manager,0.8
893467,"AWS, Statistics",DevOps Engineer,0.77
761815,"Sales, Marketing, JavaScript, Node.js, Customer Service",Backend Developer,0.71
200000,"Machine Learning, Python, Agile, Excel",Data Analyst,0.93
312758,"React, Sales, CSS, Statistics, Excel",Frontend Developer,0.87
604137,"Project Management, Excel, Tableau",Data Analyst,0.77
596867,"Marketing, React, Excel",Frontend Developer,0.87
694529,"HTML, Excel, CSS, Figma",Frontend Developer,0.89
612117,"Tableau, Python",Data Analyst,0.77
484927,"Customer Service, Machine Learning, Marketing",Product Manager,0.91
490440,"Figma, Statistics",UX/UI Designer,0.72
620624,"AWS, Node.js, Machine Learning",DevOps Engineer,0.73
378185,"CSS, Machine Learning",Frontend Developer,0.92
235284,"Figma, React",Frontend Developer,0.93
720721,"HTML, React, CSS, Marketing",Frontend Developer,0.88
602536,"React, JavaScript, Project Management",Frontend Developer,0.92
549913,"Figma, AWS, Python, Sales",UX/UI Designer,0.77
601842,"Node.js, SQL",Data Analyst,0.86
422720,"CSS, Python",Frontend Developer,0.79
457034,"Tableau, Customer Service, CSS, Sales",Frontend Developer,0.78
798078,"React, Machine Learning, Excel, Marketing, AWS",Frontend Developer,0.81
705903,"SQL, HTML, CSS",Frontend Developer,0.82
200000,"SQL, Customer Service, React",Frontend Developer,0.75
436902,"CSS, Tableau, Machine Learning",Frontend Developer,0.76
200000,"React, Agile",Frontend Developer,0.87
399575,"Excel, Marketing, Tableau, Sales, Docker",Data Analyst,0.88
630817,"Excel, React, CSS, Statistics",Frontend Developer,0.85
613418,"Node.js, Docker, Marketing, Tableau, JavaScript",Data Analyst,0.94
367807,"Tableau, Agile",Data Analyst,0.78
207218,"React, CSS",Frontend Developer,0.74
443130,"React, SQL, AWS",Frontend Developer,0.8
363733,"Tableau, Machine Learning, Project Management, Sales, AWS",Data Analyst,0.71
573773,"Sales, Project Management, SQL, Agile, CSS",Frontend Developer,0.94
563851,"Marketing, Customer Service, Docker",DevOps Engineer,0.98
437723,"Customer Service, Statistics",Full Stack Developer,0.72
377354,"SQL, Sales, React, CSS, Marketing",Frontend Developer,0.74
472657,"Statistics, Node.js, Figma",UX/UI Designer,0.99
443594,"Project Management, Machine Learning, Node.js, React",Frontend Developer,0.86
481070,"Docker, Machine Learning, Customer Service, HTML",Frontend Developer,0.91
368796,"Sales, Docker",DevOps Engineer,0.85
937105,"JavaScript, SQL, Tableau, Excel",Data Analyst,0.76
674976,"Docker, Marketing, Sales",DevOps Engineer,0.84
969726,"Project Management, Customer Service, Statistics, SQL, Docker",Data Analyst,0.93
351587,"Marketing, Project Management, Statistics",Product Manager,0.72
406621,"Tableau, CSS",Frontend Developer,0.85
688877,"Project Management, Marketing, JavaScript",Product Manager,0.98
554438,"HTML, Customer Service, Agile, JavaScript",Frontend Developer,0.78
591138,"Agile, Excel, HTML, Docker",Frontend Developer,0.97
362679,"Statistics, Project Management",Product Manager,0.95
564139,"Excel, CSS, Machine Learning",Frontend Developer,0.81
589789,"Statistics, Tableau, Agile",Data Analyst,0.77
567694,"Customer Service, CSS, Figma",Frontend Developer,0.92
368675,"Excel, Figma, Machine Learning, Project Management, HTML",Frontend Developer,1.0
446983,"Project Management, SQL, Machine Learning, Statistics, Marketing",Data Analyst,0.82
293365,"Tableau, Machine Learning, Figma, JavaScript, SQL",Data Analyst,0.95
285879,"Docker, Figma, Customer Service, Statistics",UX/UI Designer,0.75
674216,"Marketing, Python, React, Docker, AWS",Frontend Developer,0.97
645760,"Statistics, Tableau, Agile, AWS, Node.js",Data Analyst,0.8
292115,"Machine Learning, Marketing, React, Agile, Figma",Frontend Developer,0.84
448033,"Project Management, Agile, Docker, Node.js, Tableau",Data Analyst,0.81
452645,"Docker, Customer Service, React, Tableau, HTML",Frontend Developer,0.85
200000,"Sales, AWS, Machine Learning",DevOps Engineer,0.71
590963,"Customer Service, Agile, Node.js",Product Manager,0.9
375927,"Customer Service, Docker",DevOps Engineer,0.85
547894,"React, SQL",Frontend Developer,0.96
305750,"Docker, Marketing, Excel, Customer Service",Data Analyst,0.84
300965,"Sales, Python, Tableau, Figma, HTML",Frontend Developer,0.73
553973,"Docker, Figma, JavaScript",UX/UI Designer,0.95
519182,"Figma, Excel, Machine Learning, Sales, HTML",Frontend Developer,0.93
